currency,rate,base,api_date,ingested_at
MZN,63.79,USD,2026-04-23,2026-04-23 12:01:55
NAD,16.47,USD,2026-04-23,2026-04-23 12:01:55
NGN,1349.0,USD,2026-04-23,2026-04-23 12:01:55
NIO,36.82,USD,2026-04-23,2026-04-23 12:01:55
NOK,9.3,USD,2026-04-23,2026-04-23 12:01:55
NPR,150.18,USD,2026-04-23,2026-04-23 12:01:55
NZD,1.69,USD,2026-04-23,2026-04-23 12:01:55
OMR,0.384,USD,2026-04-23,2026-04-23 12:01:55
PAB,1.0,USD,2026-04-23,2026-04-23 12:01:55
PEN,3.44,USD,2026-04-23,2026-04-23 12:01:55
PGK,4.4,USD,2026-04-23,2026-04-23 12:01:55
PHP,60.18,USD,2026-04-23,2026-04-23 12:01:55
PKR,278.95,USD,2026-04-23,2026-04-23 12:01:55
PLN,3.62,USD,2026-04-23,2026-04-23 12:01:55
PYG,6315.48,USD,2026-04-23,2026-04-23 12:01:55
QAR,3.64,USD,2026-04-23,2026-04-23 12:01:55
RON,4.34,USD,2026-04-23,2026-04-23 12:01:55
RSD,99.95,USD,2026-04-23,2026-04-23 12:01:55
RUB,75.04,USD,2026-04-23,2026-04-23 12:01:55
RWF,1459.1,USD,2026-04-23,2026-04-23 12:01:55
SAR,3.75,USD,2026-04-23,2026-04-23 12:01:55
SBD,7.97,USD,2026-04-23,2026-04-23 12:01:55
SCR,14.6,USD,2026-04-23,2026-04-23 12:01:55
SDG,544.11,USD,2026-04-23,2026-04-23 12:01:55
SEK,9.2,USD,2026-04-23,2026-04-23 12:01:55
SGD,1.27,USD,2026-04-23,2026-04-23 12:01:55
SHP,0.741,USD,2026-04-23,2026-04-23 12:01:55
SLE,24.67,USD,2026-04-23,2026-04-23 12:01:55
SLL,24670.06,USD,2026-04-23,2026-04-23 12:01:55
SOS,571.53,USD,2026-04-23,2026-04-23 12:01:55
SRD,37.46,USD,2026-04-23,2026-04-23 12:01:55
SSP,4621.09,USD,2026-04-23,2026-04-23 12:01:55
STN,20.9,USD,2026-04-23,2026-04-23 12:01:55
SYP,113.57,USD,2026-04-23,2026-04-23 12:01:55
SZL,16.47,USD,2026-04-23,2026-04-23 12:01:55
THB,32.22,USD,2026-04-23,2026-04-23 12:01:55
TJS,9.43,USD,2026-04-23,2026-04-23 12:01:55
TMT,3.5,USD,2026-04-23,2026-04-23 12:01:55
TND,2.88,USD,2026-04-23,2026-04-23 12:01:55
TOP,2.39,USD,2026-04-23,2026-04-23 12:01:55
TRY,44.95,USD,2026-04-23,2026-04-23 12:01:55
TTD,6.78,USD,2026-04-23,2026-04-23 12:01:55
TVD,1.4,USD,2026-04-23,2026-04-23 12:01:55
TWD,31.49,USD,2026-04-23,2026-04-23 12:01:55
TZS,2608.63,USD,2026-04-23,2026-04-23 12:01:55
UAH,43.96,USD,2026-04-23,2026-04-23 12:01:55
UGX,3701.56,USD,2026-04-23,2026-04-23 12:01:55
UYU,39.79,USD,2026-04-23,2026-04-23 12:01:55
UZS,12078.07,USD,2026-04-23,2026-04-23 12:01:55
VES,483.34,USD,2026-04-23,2026-04-23 12:01:55
VND,26243.27,USD,2026-04-23,2026-04-23 12:01:55
VUV,118.32,USD,2026-04-23,2026-04-23 12:01:55
WST,2.7,USD,2026-04-23,2026-04-23 12:01:55
XAF,559.52,USD,2026-04-23,2026-04-23 12:01:55
